track_id,playlist_url,playlist_name,track_name,track_popularity,artist_name,album,album_cover,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
13bc2YcSC0c3B5qvQFd91a,https://open.spotify.com/playlist/5vBxJ3Y2DbAna3xBJpGz0z?si=eb6d772b7d6043df,The Sound of Trance,The Fight For Freedom,21,8 Wonders,The Fight For Freedom,https://i.scdn.co/image/ab67616d0000b2736728bb6fc338abb4f4855f6d,"['trance', 'uplifting trance']",17,0.486,0.995,8.0,-7.408,0.0,0.052,0.0227,0.924,0.307,0.186,137.888,216073.0,4.0,trance
7a3J2KkojgsYMjb6PdPyFM,https://open.spotify.com/playlist/5vBxJ3Y2DbAna3xBJpGz0z?si=eb6d772b7d6043df,The Sound of Trance,L'Esperanza,24,Airscape,Trance - The Early Years (1997-2002),https://i.scdn.co/image/ab67616d0000b273c39e7c7c478cc3e76b14979d,['trance'],35,0.562,0.93,0.0,-10.217,0.0,0.0357,0.0826,0.926,0.0975,0.643,139.977,211453.0,4.0,trance
65lC7Ey8QaVLvItAMF6Ap8,https://open.spotify.com/playlist/5vBxJ3Y2DbAna3xBJpGz0z?si=eb6d772b7d6043df,The Sound of Trance,Blah Blah Blah,46,Armin van Buuren,Balance,https://i.scdn.co/image/ab67616d0000b273669815477d662748e912c112,"['dutch trance', 'edm', 'pop dance', 'progressive house', 'trance']",74,0.387,0.963,5.0,-3.912,0.0,0.0633,0.00887,0.00384,0.294,0.16,138.025,183519.0,4.0,trance
2ZS3mTQop51jo8qpcnA4Vd,https://open.spotify.com/playlist/5vBxJ3Y2DbAna3xBJpGz0z?si=eb6d772b7d6043df,The Sound of Trance,Beauty Hides In The Deep - John O'Callaghan Radio Edit,25,The Doppler Effect,Beauty Hides In The Deep,https://i.scdn.co/image/ab67616d0000b2735170468b553c967ec342be60,['trance'],16,0.494,0.991,1.0,-6.172,0.0,0.043,0.00024,0.191,0.834,0.092,139.982,226223.0,4.0,trance
18asYwWugKjjsihZ0YvRxO,https://open.spotify.com/playlist/5vBxJ3Y2DbAna3xBJpGz0z?si=eb6d772b7d6043df,The Sound of Trance,The Motto,86,Tiësto,The Motto,https://i.scdn.co/image/ab67616d0000b2736b64f7a7e0e7af3d604ab41e,"['big room', 'brostep', 'dance pop', 'dutch edm', 'edm', 'house', 'pop', 'pop dance', 'slap house', 'trance', 'tropical house']",82,0.754,0.763,7.0,-4.627,0.0,0.0435,0.0301,2.23e-05,0.0901,0.464,117.953,164819.0,4.0,trance
75653mwqn2ikumvrHuhEKf,https://open.spotify.com/playlist/5vBxJ3Y2DbAna3xBJpGz0z?si=eb6d772b7d6043df,The Sound of Trance,Xpander - Edit,39,Sasha,The Xpander E.P.,https://i.scdn.co/image/ab67616d0000b2733bc762b912245e33f6ba2cae,"['classic progressive house', 'swedish electronic', 'trance']",42,0.477,0.995,5.0,-5.121,0.0,0.0532,0.000781,0.902,0.136,0.704,128.098,202027.0,4.0,trance
5QdgpcfAw8EbsupH0B6BpI,https://open.spotify.com/playlist/5vBxJ3Y2DbAna3xBJpGz0z?si=eb6d772b7d6043df,The Sound of Trance,Synaesthesia (Fly Away),35,The Thrillseekers,Synaesthesia (Fly Away),https://i.scdn.co/image/ab67616d0000b273980301149d30bdd9b06f6b6e,"['progressive house', 'progressive trance', 'trance', 'uplifting trance']",44,0.521,0.924,7.0,-5.859,0.0,0.0282,0.000822,0.19,0.365,0.156,137.969,229973.0,4.0,trance
1okI0EddpA2UxVY4hBw4PA,https://open.spotify.com/playlist/5vBxJ3Y2DbAna3xBJpGz0z?si=eb6d772b7d6043df,The Sound of Trance,Seven Cities - Nall Remix,45,Solarstone,Seven Cities (Nall Remix),https://i.scdn.co/image/ab67616d0000b273eff08b17c8d6ad97a0e3aa8e,"['progressive house', 'progressive trance', 'trance', 'uplifting trance']",45,0.527,0.823,0.0,-8.581,1.0,0.0341,0.367,0.954,0.133,0.14,122.011,208804.0,4.0,trance
5QiCJ1Uxzk1lgzbuk9WH2L,https://open.spotify.com/playlist/5vBxJ3Y2DbAna3xBJpGz0z?si=eb6d772b7d6043df,The Sound of Trance,Awakening - Radio Edit,48,Rank 1,Symsonic,https://i.scdn.co/image/ab67616d0000b2737a51060b747aae241cfb9ad8,"['bubble trance', 'dutch trance', 'progressive house', 'trance', 'uplifting trance']",47,0.595,0.929,4.0,-9.097,1.0,0.0447,0.00618,0.889,0.0888,0.844,137.991,175107.0,4.0,trance
7GuTGek0pINTQJgczIO0ll,https://open.spotify.com/playlist/5vBxJ3Y2DbAna3xBJpGz0z?si=eb6d772b7d6043df,The Sound of Trance,Big Sky,45,John O'Callaghan,John O'Callaghan Collected,https://i.scdn.co/image/ab67616d0000b27308680552d8530e054e9ac2e8,"['progressive house', 'progressive trance', 'trance', 'uplifting trance']",45,0.573,0.962,6.0,-3.883,0.0,0.0709,0.00166,0.0336,0.504,0.452,140.004,173467.0,4.0,trance
2K7W4hn3IoLEyY5EXWfoWC,https://open.spotify.com/playlist/5vBxJ3Y2DbAna3xBJpGz0z?si=eb6d772b7d6043df,The Sound of Trance,Calling Berlin,43,Alex M.O.R.P.H.,Calling Berlin,https://i.scdn.co/image/ab67616d0000b273af674890d30fc83070b922bd,"['german techno', 'german trance', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']",45,0.338,0.919,10.0,-5.803,1.0,0.0473,0.00949,0.911,0.0764,0.338,133.852,189855.0,4.0,trance
7bbY135gafWRikvA2f9jjA,https://open.spotify.com/playlist/5vBxJ3Y2DbAna3xBJpGz0z?si=eb6d772b7d6043df,The Sound of Trance,Follow Me - Lange's Club Mix,44,Lange,I Believe / Follow Me,https://i.scdn.co/image/ab67616d0000b273b2c123a21820334a5d966528,"['progressive house', 'progressive trance', 'trance', 'uplifting trance']",44,0.557,0.908,0.0,-8.494,1.0,0.0443,0.00017,0.747,0.183,0.498,139.854,392560.0,4.0,trance
0taZjhXbTPtGHQsEv3nhkl,https://open.spotify.com/playlist/5vBxJ3Y2DbAna3xBJpGz0z?si=eb6d772b7d6043df,The Sound of Trance,Born to Run,43,Andy Moor,Born to Run,https://i.scdn.co/image/ab67616d0000b273a9c4faf303250fff987c871d,"['edm', 'pop dance', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']",44,0.581,0.809,7.0,-8.852,0.0,0.0394,0.0277,0.548,0.399,0.0828,127.993,210377.0,4.0,trance
29ovbgjQ0pnjA7wE5tWeqs,https://open.spotify.com/playlist/5vBxJ3Y2DbAna3xBJpGz0z?si=eb6d772b7d6043df,The Sound of Trance,Destiny,32,Markus Schulz,Watch The World,https://i.scdn.co/image/ab67616d0000b2733fd40143c797579cfad421dd,"['edm', 'pop dance', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']",49,0.557,0.892,3.0,-5.273,0.0,0.0505,0.0122,0.000134,0.39,0.183,129.936,227920.0,4.0,trance
18r7hjATJb5rGlFVsCDY9L,https://open.spotify.com/playlist/5vBxJ3Y2DbAna3xBJpGz0z?si=eb6d772b7d6043df,The Sound of Trance,Give Your Heart a Home,26,Richard Durand,Reactivate,https://i.scdn.co/image/ab67616d0000b2734ac42fadb64159d8a6bad99b,"['dutch trance', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']",46,0.464,0.948,1.0,-5.387,1.0,0.0563,0.00152,0.731,0.393,0.188,135.042,205778.0,4.0,trance
1WOCm5zJr1opYMnej9qaBQ,https://open.spotify.com/playlist/5vBxJ3Y2DbAna3xBJpGz0z?si=eb6d772b7d6043df,The Sound of Trance,Beautiful Things - Gabriel & Dresden Unplugged Mix,43,Andain,Nyana Mixed by Tiësto,https://i.scdn.co/image/ab67616d0000b27345e49a0d81bae9ba623cb42d,"['progressive house', 'progressive trance', 'trance', 'uplifting trance', 'vocal trance']",43,0.724,0.631,4.0,-9.659,0.0,0.0407,0.00617,0.677,0.262,0.522,134.493,435480.0,4.0,trance
0rftiAFRXwSXv9u6SWPW7l,https://open.spotify.com/playlist/5vBxJ3Y2DbAna3xBJpGz0z?si=eb6d772b7d6043df,The Sound of Trance,Lost - Vintage & Morelli Remix,41,Sunlounger,Lost (Remixes),https://i.scdn.co/image/ab67616d0000b273472ffaa2fd99411434c4aa43,"['progressive house', 'trance', 'uplifting trance']",45,0.73,0.87,7.0,-3.741,0.0,0.0359,0.0105,0.0206,0.61,0.233,123.981,236377.0,4.0,trance
0PJr4eTfffgfHQda27VpIq,https://open.spotify.com/playlist/5vBxJ3Y2DbAna3xBJpGz0z?si=eb6d772b7d6043df,The Sound of Trance,Sorry,35,Simon Patterson,Sorry,https://i.scdn.co/image/ab67616d0000b273eaebda5937a97a2029cb558d,"['deep uplifting trance', 'progressive house', 'progressive trance', 'progressive uplifting trance', 'trance', 'uplifting trance']",37,0.526,0.985,7.0,-3.849,1.0,0.0596,0.00875,0.429,0.116,0.101,133.989,243763.0,4.0,trance
5PsoWaIrI0S398z8pTy7BW,https://open.spotify.com/playlist/5vBxJ3Y2DbAna3xBJpGz0z?si=eb6d772b7d6043df,The Sound of Trance,You Can't Stop Me,44,Ferry Corsten,You Can't Stop Me,https://i.scdn.co/image/ab67616d0000b273c896771651d2bfcf9ce83718,"['dutch trance', 'edm', 'pop dance', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']",53,0.551,0.958,7.0,-4.764,1.0,0.0395,0.00159,0.00563,0.328,0.366,124.993,189844.0,4.0,trance
59ktkd4Y30uNOeuxJhBN5e,https://open.spotify.com/playlist/5vBxJ3Y2DbAna3xBJpGz0z?si=eb6d772b7d6043df,The Sound of Trance,Beautiful - 1999 Mix,45,Matt Darey,Retrospective (25 Years),https://i.scdn.co/image/ab67616d0000b273df956b2d319e3dac4f8989db,"['deep uplifting trance', 'progressive house', 'trance', 'uplifting trance']",41,0.496,0.957,5.0,-7.505,0.0,0.0497,0.0159,0.858,0.335,0.502,136.972,219000.0,4.0,trance
0T65tcDMQv0pGX5ZcZx9d1,https://open.spotify.com/playlist/5vBxJ3Y2DbAna3xBJpGz0z?si=eb6d772b7d6043df,The Sound of Trance,Medusa - Radio Edit,40,Airbase,Medusa,https://i.scdn.co/image/ab67616d0000b2736166119e1cb56a4557c2c380,"['deep uplifting trance', 'progressive house', 'progressive trance', 'progressive uplifting trance', 'trance', 'uplifting trance']",37,0.44,0.983,6.0,-6.598,0.0,0.0651,0.0054,0.922,0.277,0.793,137.009,197039.0,4.0,trance
0M62hE1fDyX9FNxMa3y74a,https://open.spotify.com/playlist/5vBxJ3Y2DbAna3xBJpGz0z?si=eb6d772b7d6043df,The Sound of Trance,Lift - Chris Voro & Ode ReChill,34,Sean Tyas,Lift (Remixes),https://i.scdn.co/image/ab67616d0000b273254c24022f3c75695ee8d769,"['deep uplifting trance', 'progressive house', 'progressive trance', 'progressive uplifting trance', 'tech trance', 'trance', 'uplifting trance']",36,0.624,0.457,2.0,-10.937,0.0,0.0398,0.397,0.847,0.137,0.0597,115.006,377975.0,4.0,trance
770Zumq3h4Xvn3RT0DwHRw,https://open.spotify.com/playlist/5vBxJ3Y2DbAna3xBJpGz0z?si=eb6d772b7d6043df,The Sound of Trance,A Spring of Hope,33,Stoneface & Terminal,Vocal Trance Selections,https://i.scdn.co/image/ab67616d0000b273e0ac097901e54908e3c5c5c3,"['deep uplifting trance', 'progressive house', 'progressive trance', 'progressive uplifting trance', 'trance', 'uplifting trance']",35,0.444,0.974,11.0,-4.684,0.0,0.0754,0.000337,0.0476,0.353,0.0723,135.951,254118.0,4.0,trance
51KCyHln6zoPVjAvArlSFn,https://open.spotify.com/playlist/5vBxJ3Y2DbAna3xBJpGz0z?si=eb6d772b7d6043df,The Sound of Trance,7 Colours - Radio Edit,38,Lost Witness,7 Colours (The Remixes),https://i.scdn.co/image/ab67616d0000b273d19834d7926b09d867ef8d2b,"['deep uplifting trance', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']",38,0.495,0.935,10.0,-5.663,0.0,0.0511,0.003,0.000303,0.128,0.314,136.01,195360.0,4.0,trance
7eCPT70F7UaCWI7OVCSBmA,https://open.spotify.com/playlist/5vBxJ3Y2DbAna3xBJpGz0z?si=eb6d772b7d6043df,The Sound of Trance,Kings (FSOE750 Anthem),43,Aly & Fila,Kings (FSOE750 Anthem),https://i.scdn.co/image/ab67616d0000b27373c8ecb499de27ecdc1ea87a,"['progressive house', 'progressive trance', 'trance', 'uplifting trance']",47,0.37,0.993,1.0,-4.213,0.0,0.0753,0.000122,0.916,0.347,0.138,139.891,171429.0,4.0,trance
5zWtK4Fk0LycpuVhTLCnCj,https://open.spotify.com/playlist/5vBxJ3Y2DbAna3xBJpGz0z?si=eb6d772b7d6043df,The Sound of Trance,Calm Before the Storm - BiXX Remix,32,Ronski Speed,Calm Before the Storm (BiXX Remix),https://i.scdn.co/image/ab67616d0000b273d1c8eb8fba32bd4793bcf110,"['deep uplifting trance', 'progressive house', 'progressive trance', 'progressive uplifting trance', 'trance', 'uplifting trance']",33,0.457,0.995,9.0,-4.477,1.0,0.165,0.000339,0.123,0.0801,0.115,137.956,232394.0,4.0,trance
2WiW6RcpDaCivdk7cofdBA,https://open.spotify.com/playlist/5vBxJ3Y2DbAna3xBJpGz0z?si=eb6d772b7d6043df,The Sound of Trance,Colour Me,47,Giuseppe Ottaviani,Horizons [Part 1],https://i.scdn.co/image/ab67616d0000b2730c6672851dcc32ee92dc75d3,"['italian trance', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']",48,0.488,0.947,2.0,-7.592,0.0,0.0408,0.012,0.0159,0.0935,0.115,125.008,237133.0,4.0,trance
0dak7uypOBIUVGLqmaLtYU,https://open.spotify.com/playlist/5vBxJ3Y2DbAna3xBJpGz0z?si=eb6d772b7d6043df,The Sound of Trance,Falling Forward - Sultan + Shepard Remix,40,Gabriel & Dresden,Falling Forward (Sultan + Shepard Remix),https://i.scdn.co/image/ab67616d0000b2732620b57517f747aa01c8542a,"['edm', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']",45,0.646,0.853,7.0,-7.239,1.0,0.0407,0.0117,0.0116,0.222,0.0364,121.002,241240.0,4.0,trance
4AlofiTiubDOvZ6aAifK5v,https://open.spotify.com/playlist/5vBxJ3Y2DbAna3xBJpGz0z?si=eb6d772b7d6043df,The Sound of Trance,Beehive,40,Kyau & Albert,Beehive / Paper Towns,https://i.scdn.co/image/ab67616d0000b273285318ccf5646aa56f2075ae,"['edm', 'german techno', 'pop dance', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']",43,0.437,0.907,7.0,-5.282,1.0,0.0357,0.00099,0.898,0.403,0.1,123.937,178355.0,4.0,trance
1YdFebuOulpMxNk5Ma4ozW,https://open.spotify.com/playlist/5vBxJ3Y2DbAna3xBJpGz0z?si=eb6d772b7d6043df,The Sound of Trance,Break the Ice,40,Dennis Sheperd,Break the Ice,https://i.scdn.co/image/ab67616d0000b2730cc7d63153c113fe9ec22622,"['german techno', 'german trance', 'progressive house', 'progressive trance', 'tech trance', 'trance', 'uplifting trance']",41,0.558,0.93,8.0,-6.25,1.0,0.065,0.012,0.0758,0.404,0.289,125.007,241920.0,4.0,trance
